Año,Fecha,Mes,Día de la semana,Día,Tema,Sub Tema,Línea,Estación
2014,1/1/2014,1,Wednesday,1,Deficiencias en información,FALTA DE INFORMACION - SUBTE,B,PASTEUR
2014,1/1/2014,1,Wednesday,1,Otros,RECLAMOS REFERIDOS A LA RED WIFI - SUBTE,H,SANTA FE
2014,1/2/2014,1,Thursday,2,Demoras e Interrupciones,DEMORAS E INTERRUPCIONES - SUBTE,E,BELGRANO
2014,1/2/2014,1,Thursday,2,Demoras e Interrupciones,DEMORAS E INTERRUPCIONES - SUBTE,A,CARABOBO
2014,1/2/2014,1,Thursday,2,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,A,CARABOBO
2014,1/2/2014,1,Thursday,2,Escaleras mecánicas ,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,JOSE HERNANDEZ
2014,1/2/2014,1,Thursday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,A,CONGRESO
2014,1/2/2014,1,Thursday,2,Escaleras mecánicas ,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,CONGRESO
2014,1/2/2014,1,Thursday,2,Medios de pago,INCONVENIENTES EN BOLETERIA - SUBTE,B,MEDRANO
2014,1/2/2014,1,Thursday,2,Ascensores,FUNCIONAMIENTO/ MANTENIMIENTO DE ASCENSORES - SUBTE,B,PUEYRREDON_B
2014,1/2/2014,1,Thursday,2,Escaleras mecánicas ,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,B,PUEYRREDON_B
2014,1/2/2014,1,Thursday,2,Estaciones,FILTRACIONES - SUBTE,A,LIMA
2014,1/2/2014,1,Thursday,2,Felicitaciones,TRATO Y ATENCION DEL PERSONAL - SUBTE,D,MINISTRO CARRANZA
2014,1/2/2014,1,Thursday,2,Escaleras mecánicas ,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,JURAMENTO
2014,1/2/2014,1,Thursday,2,Escaleras mecánicas ,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,E,AVENIDA LA PLATA
2014,1/2/2014,1,Thursday,2,Venta ambulante,VENTA AMBULANTE - SUBTE,E,AVENIDA LA PLATA
